"Industry","All categories: Occupation (full)","1 Managers, directors and senior officials","11 Corporate managers and directors","111 Chief Executives and Senior Officials","112 Production Managers and Directors","113 Functional Managers and Directors","115 Financial Institution Managers and Directors","116 Managers and Directors in Transport and Logistics","117 Senior Officers in Protective Services","118 Health and Social Services Managers and Directors","119 Managers and Directors in Retail and Wholesale","12 Other managers and proprietors","121 Managers and Proprietors in Agriculture Related Services","122 Managers and Proprietors in Hospitality and Leisure Services","124 Managers and Proprietors in Health and Care Services","125 Managers and Proprietors in Other Services","2 Professional occupations","21 Science, research, engineering and technology professionals","211 Natural and Social Science Professionals","212 Engineering Professionals","213 Information Technology and Telecommunications Professionals","214 Conservation and Environment Professionals","215 Research and Development Managers","22 Health professionals","221 Health Professionals","222 Therapy Professionals","223 Nursing and Midwifery Professionals","23 Teaching and educational professionals","231 Teaching and Educational Professionals","24 Business, media and public service professionals","241 Legal Professionals","242 Business, Research and Administrative Professionals","243 Architects, Town Planners and Surveyors","244 Welfare Professionals","245 Librarians and Related Professionals","246 Quality and Regulatory Professionals","247 Media Professionals","3 Associate professional and technical occupations","31 Science, engineering and technology associate professionals","311 Science, Engineering and Production Technicians","312 Draughtspersons and Related Architectural Technicians","313 Information Technology Technicians","32 Health and social care associate professionals","321 Health Associate Professionals","323 Welfare and Housing Associate Professionals","33 Protective service occupations","331 Protective Service Occupations","34 Culture, media and sports occupations","341 Artistic, Literary and Media Occupations","342 Design Occupations","344 Sports and Fitness Occupations","35 Business and public service associate professionals","351 Transport Associate Professionals","352 Legal Associate Professionals","353 Business, Finance and Related Associate Professionals","354 Sales, Marketing and Related Associate Professionals","355 Conservation and Environmental associate professionals","356 Public Services and Other Associate Professionals","4 Administrative and secretarial occupations","41 Administrative occupations","411 Administrative Occupations: Government and Related Organisations","412 Administrative Occupations: Finance","413 Administrative Occupations: Records","415 Other Administrative Occupations","416 Administrative Occupations: Office Managers and Supervisors","42 Secretarial and related occupations","421 Secretarial and Related Occupations","5 Skilled trades occupations","51 Skilled agricultural and related trades","511 Agricultural and Related Trades","52 Skilled metal, electrical and electronic trades","521 Metal Forming, Welding and Related Trades","522 Metal Machining, Fitting and Instrument Making Trades","523 Vehicle Trades","524 Electrical and Electronic Trades","525 Skilled Metal, Electrical and Electronic Trades Supervisors","53 Skilled construction and building trades","531 Construction and Building Trades","532 Building Finishing Trades","533 Construction and Building Trades Supervisors","54 Textiles, printing and other skilled trades","541 Textiles and Garments Trades","542 Printing Trades","543 Food Preparation and Hospitality Trades","544 Other Skilled Trades","6 Caring, leisure and other service occupations","61 Caring personal service occupations","612 Childcare and Related Personal Services","613 Animal Care and Control Services","614 Caring Personal Services","62 Leisure, travel and related personal service occupations","621 Leisure and Travel Services","622 Hairdressers and Related Services","623 Housekeeping and Related Services","624 Cleaning and Housekeeping Managers and Supervisors","7 Sales and customer service occupations","71 Sales occupations","711 Sales Assistants and Retail Cashiers","712 Sales Related Occupations","713 Sales Supervisors","72 Customer service occupations","721 Customer Service Occupations","722 Customer Service Managers and Supervisors","8 Process, plant and machine operatives","81 Process, plant and machine operatives","811 Process Operatives","812 Plant and Machine Operatives","813 Assemblers and Routine Operatives","814 Construction Operatives","82 Transport and mobile machine drivers and operatives","821 Road Transport Drivers","822 Mobile Machine Drivers and Operatives","823 Other Drivers and Transport Operatives","9 Elementary occupations","91 Elementary trades and related occupations","911 Elementary Agricultural Occupations","912 Elementary Construction Occupations","913 Elementary Process Plant Occupations","92 Elementary administration and service occupations","921 Elementary Administration Occupations","923 Elementary Cleaning Occupations","924 Elementary Security Occupations","925 Elementary Sales Occupations","926 Elementary Storage Occupations","927 Other Elementary Services Occupations"

"10.3 Processing and preserving of fruit and vegetables",19140,1626,1484,22,1078,241,3,115,1,1,23,142,32,17,3,90,764,372,37,249,69,11,6,27,6,1,20,8,8,357,8,158,10,2,2,171,6,1281,649,603,3,43,8,1,7,3,3,34,16,12,6,587,0,1,85,366,0,135,984,837,4,230,300,247,56,147,147,874,118,118,555,13,334,11,156,41,83,58,24,1,118,9,12,83,14,134,92,5,5,82,42,8,7,16,11,178,112,84,22,6,66,51,15,9747,8531,7655,341,485,50,1216,608,581,27,3552,2332,178,23,2131,1220,41,177,49,11,827,115
"10.4 Manufacture of vegetable and animal oils and fats",904,107,100,0,78,12,0,7,0,1,2,7,0,0,0,7,90,70,14,40,7,3,6,1,0,0,1,0,0,19,1,10,1,0,0,7,0,134,92,90,1,1,1,0,1,1,1,1,1,0,0,39,0,1,9,18,0,11,85,73,0,23,16,28,6,12,12,86,6,6,67,1,45,2,11,8,8,4,4,0,5,1,0,3,1,8,4,1,0,3,4,0,2,0,2,12,5,3,2,0,7,5,2,284,242,219,13,8,2,42,18,20,4,98,43,1,3,39,55,4,6,6,0,38,1
"10.5 Manufacture of dairy products",21291,2345,2115,28,1456,330,4,216,0,2,79,230,88,25,1,116,827,410,26,276,70,12,26,33,15,0,18,4,4,380,10,225,9,6,0,116,14,1636,794,741,2,51,18,6,12,8,8,41,19,15,7,775,0,8,106,547,0,114,1335,1138,8,311,260,450,109,197,197,2017,1024,1024,757,27,494,42,139,55,131,99,28,4,105,8,5,80,12,126,77,13,6,58,49,5,16,14,14,1077,965,220,729,16,112,75,37,9307,7231,6653,287,220,71,2076,1709,329,38,2621,1383,382,33,968,1238,54,107,59,10,876,132
"10.6 Manufacture of grain mill products, starches and starch products",9294,952,887,17,569,205,1,83,1,1,10,65,1,8,0,56,706,394,20,256,91,3,24,23,7,3,13,3,3,286,5,176,20,3,0,76,6,1166,462,424,4,34,6,3,3,0,0,40,22,16,2,658,1,1,101,466,0,89,709,610,4,200,175,195,36,99,99,741,41,41,596,10,373,26,144,43,64,40,24,0,40,2,4,30,4,60,38,4,9,25,22,7,5,4,6,141,47,35,11,1,94,71,23,3678,2920,2623,147,123,27,758,504,239,15,1141,607,17,7,583,534,19,55,53,5,377,25
"10.7 Manufacture of bakery and farinaceous products",69749,5622,5018,26,3565,674,1,410,0,10,332,604,10,107,10,477,1689,927,17,714,167,7,22,75,20,3,52,30,30,657,9,323,12,40,1,254,18,2910,910,806,9,95,34,9,25,19,19,129,72,39,18,1818,4,6,220,1193,2,393,2874,2359,24,716,513,907,199,515,515,8143,95,95,1852,45,1088,98,494,127,411,272,133,6,5785,33,17,5699,36,484,332,41,9,282,152,22,33,41,56,3583,3258,2971,238,49,325,267,58,35483,30095,28530,741,625,199,5388,4640,687,61,8961,4973,33,55,4885,3988,128,573,155,32,2214,886
"10.8 Manufacture of other food products",101724,11624,10589,118,7330,2160,23,769,4,22,163,1035,66,264,18,687,6161,3669,336,2373,767,52,141,235,90,27,118,49,49,2208,48,1247,32,27,3,793,58,9615,3318,2953,35,330,82,29,53,57,57,357,137,196,24,5801,6,16,754,3995,3,1027,5773,4805,46,1484,1452,1484,339,968,968,6394,527,527,3975,110,2571,66,965,263,449,321,116,12,1443,41,46,1308,48,692,475,72,15,388,217,23,58,59,77,2080,1348,1070,200,78,732,555,177,45520,41554,38127,1483,1710,234,3966,2166,1719,81,13865,6608,152,95,6361,7257,112,682,345,55,3578,2485
"10.9 Manufacture of prepared animal feeds",13034,1730,1548,21,1047,253,2,174,0,1,50,182,24,10,4,144,737,371,88,181,72,6,24,76,15,54,7,6,6,284,5,162,12,4,2,94,5,1412,312,263,2,47,15,11,4,4,4,41,25,14,2,1040,0,2,123,840,2,73,1213,1065,4,336,181,444,100,148,148,759,121,121,485,20,340,14,83,28,91,67,22,2,62,6,3,42,11,102,89,7,50,32,13,1,5,4,3,474,271,244,16,11,203,153,50,5118,3453,3035,198,182,38,1665,1160,482,23,1489,732,87,10,635,757,42,53,28,3,608,23
"11.0 Manufacture of beverages",38979,6793,5632,106,3528,1335,23,491,1,4,144,1161,107,671,9,374,3778,2474,87,1803,499,28,57,43,14,6,23,19,19,1242,82,735,82,7,5,229,102,7386,1622,1410,15,197,50,29,21,40,40,305,132,158,15,5369,6,29,567,4375,1,391,3549,2818,22,916,653,997,230,731,731,2236,111,111,1510,49,796,37,534,94,303,215,85,3,312,12,13,244,43,335,157,27,12,118,178,96,28,34,20,1329,696,480,196,20,633,464,169,10236,6813,5858,606,249,100,3423,2345,1023,55,3337,828,75,41,712,2509,102,183,173,19,1177,855
"12 Manufacture of tobacco products",4396,755,710,10,364,294,9,22,0,1,10,45,0,5,1,39,841,518,91,222,187,1,17,17,6,0,11,3,3,303,49,195,9,1,1,33,15,1152,198,137,3,58,8,2,6,17,17,22,9,11,2,907,1,13,169,650,0,74,572,418,2,157,97,139,23,154,154,197,5,5,155,1,109,4,35,6,18,12,5,1,19,3,6,7,3,34,17,1,1,15,17,5,4,7,1,129,71,20,47,4,58,50,8,525,459,374,55,21,9,66,40,23,3,191,40,1,3,36,151,9,26,21,3,82,10
"13 Manufacture of textiles",52648,6541,5961,73,4632,728,9,321,0,19,179,580,5,43,15,517,1777,941,28,547,262,12,92,73,14,3,56,28,28,735,8,397,27,20,14,244,25,5151,1103,947,70,86,46,12,34,31,31,1514,221,1276,17,2457,7,5,341,1922,2,180,4116,3350,14,1012,396,1549,379,766,766,10008,148,148,1659,95,1059,46,240,219,601,342,245,14,7600,6198,653,129,620,371,260,48,5,207,111,21,34,42,14,1790,1285,1103,136,46,505,403,102,16970,15539,8461,1053,5702,323,1431,1031,360,40,5924,3497,18,185,3294,2427,190,391,113,23,1596,114
"14 Manufacture of wearing apparel",45881,5451,4807,71,3517,481,8,285,3,12,430,644,59,47,9,529,1453,683,11,362,182,0,128,95,16,2,77,42,42,633,8,285,8,13,1,222,96,5303,405,267,62,76,51,17,34,28,28,2673,221,2417,35,2146,2,10,285,1753,0,96,2887,2265,18,781,311,954,201,622,622,9560,162,162,554,44,340,24,65,81,303,195,102,6,8541,8114,147,183,97,611,411,68,64,279,200,20,95,67,18,2984,2451,2009,357,85,533,444,89,13259,12537,1773,432,10248,84,722,634,77,11,4373,1465,24,36,1405,2908,168,843,82,71,1602,142
"15.1 Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",4510,603,498,7,374,72,11,14,2,2,16,105,2,4,1,98,142,45,3,23,11,1,7,8,2,1,5,7,7,82,6,38,3,1,2,24,8,301,45,33,6,6,7,4,3,11,11,70,14,49,7,168,0,3,25,125,0,15,326,229,2,79,30,85,33,97,97,1601,86,86,89,10,44,2,12,21,51,46,5,0,1375,1297,20,19,39,106,35,10,10,15,71,3,63,3,2,175,140,130,9,1,35,26,9,809,715,339,95,270,11,94,77,14,3,447,281,15,7,259,166,17,39,7,1,88,14
"15.2 Manufacture of footwear",5616,553,512,15,332,76,3,34,0,2,50,41,0,4,1,36,173,75,3,36,28,1,7,12,5,1,6,1,1,85,2,47,2,0,0,20,14,576,68,51,7,10,30,27,3,3,3,152,15,135,2,323,1,0,53,240,0,29,500,392,2,133,65,165,27,108,108,2588,48,48,112,13,63,11,23,2,65,45,19,1,2363,2297,4,41,21,31,17,2,0,15,14,2,1,10,1,364,251,182,34,35,113,97,16,365,301,77,40,178,6,64,39,24,1,466,133,1,8,124,333,21,26,12,7,245,22
"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",32152,4037,3792,31,3119,403,1,196,1,1,40,245,12,15,1,217,993,603,16,410,110,16,51,33,12,1,20,12,12,345,0,193,86,2,3,55,6,2040,409,225,149,35,13,7,6,11,11,252,79,166,7,1355,3,0,371,891,2,88,2353,1779,7,511,213,804,244,574,574,11012,235,235,1401,203,692,71,222,213,7350,6904,317,129,2026,34,33,56,1903,237,195,13,50,132,42,4,14,23,1,401,247,179,60,8,154,119,35,7726,5743,311,4719,574,139,1983,1012,939,32,3353,2324,286,125,1913,1029,75,254,43,8,604,45
"17.1 Manufacture of pulp, paper and paperboard",15496,1409,1278,22,860,229,3,134,7,4,19,131,2,7,1,121,1038,720,20,518,148,26,8,22,5,3,14,9,9,287,2,163,10,3,4,89,16,1528,622,540,11,71,16,7,9,26,26,79,35,43,1,785,0,1,104,548,0,132,1087,920,9,277,230,345,59,167,167,1587,59,59,1178,31,747,11,309,80,137,96,37,4,213,42,132,19,20,85,54,10,2,42,31,4,9,10,8,234,99,84,13,2,135,100,35,6347,5130,199,4582,286,63,1217,561,636,20,2181,1158,10,17,1131,1023,123,240,107,15,509,29
"17.2 Manufacture of articles of paper and paperboard",24064,2955,2789,35,2019,487,6,214,0,1,27,166,1,10,1,154,1054,572,14,323,164,11,60,29,6,2,21,15,15,438,2,270,20,2,5,124,15,2634,614,486,52,76,14,5,9,15,15,398,70,321,7,1593,2,4,257,1202,1,127,2089,1805,11,600,290,743,161,284,284,2609,47,47,1074,43,667,19,228,117,188,134,51,3,1300,24,1142,41,93,127,93,13,3,77,34,5,10,17,2,513,175,134,33,8,338,269,69,8341,6857,419,5719,636,83,1484,644,821,19,3742,2468,18,50,2400,1274,77,238,55,11,845,48
"18.1 Printing and service activities related to printing",145763,22805,20131,226,15940,2880,33,831,4,28,189,2674,13,107,8,2546,5673,2705,60,803,1659,19,164,118,27,9,82,51,51,2799,42,1498,48,24,32,386,769,19927,1931,1234,125,572,87,31,56,80,80,8535,765,7732,38,9294,6,21,2497,6395,2,373,12125,9258,64,3222,1095,3848,1029,2867,2867,52485,531,531,3204,160,1591,119,1205,129,2274,1349,899,26,46476,188,44876,369,1043,731,497,80,26,391,234,43,82,94,15,3503,1828,1128,654,46,1675,1250,425,17416,13464,703,10804,1642,315,3952,2809,1082,61,11098,4486,43,135,4308,6612,2469,561,327,62,2988,205
"18.2 Reproduction of recorded media",909,185,167,5,124,30,0,7,0,0,1,18,0,0,1,17,103,54,0,25,28,0,1,2,0,0,2,3,3,44,1,23,0,0,3,5,12,222,23,18,1,4,0,0,0,1,1,146,134,12,0,52,0,0,14,36,0,2,86,57,2,21,12,19,3,29,29,75,2,2,54,2,15,0,31,6,6,3,3,0,13,0,11,0,2,5,4,1,0,3,1,1,0,0,0,13,5,5,0,0,8,5,3,96,92,18,44,30,0,4,3,1,0,124,70,0,0,70,54,17,5,3,1,25,3
"19 Manufacture of coke and refined petroleum products",14933,1302,1160,36,697,296,7,75,14,0,35,142,2,6,0,134,2893,2259,228,1663,315,35,18,38,17,1,20,6,6,590,22,357,52,7,0,130,22,2755,1363,1119,146,98,24,6,18,67,67,82,43,33,6,1219,27,11,344,497,0,340,1093,883,7,234,292,292,58,210,210,1914,35,35,1588,300,843,21,275,149,251,170,41,40,40,3,1,22,14,54,36,6,3,27,18,10,1,5,2,209,104,85,13,6,105,85,20,4016,3412,2625,295,266,226,604,428,114,62,697,300,0,20,280,397,22,69,102,6,170,28
"20.1 Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",27998,4180,3904,93,2798,719,5,242,13,5,29,276,4,20,6,246,4408,3346,1120,1694,361,57,114,101,54,2,45,18,18,943,28,523,33,5,4,328,22,4177,1788,1576,47,165,66,42,24,46,46,87,44,39,4,2190,7,14,317,1485,3,364,2420,2018,17,569,529,732,171,402,402,2390,64,64,1843,137,1139,40,368,159,386,324,47,15,97,17,15,22,43,128,91,7,4,80,37,9,16,10,2,633,200,153,35,12,433,344,89,7819,6809,5670,490,491,158,1010,642,349,19,1843,935,26,41,868,908,48,193,117,5,514,31
"20.2 Manufacture of pesticides and other agrochemical products",1708,315,288,7,211,53,1,14,2,0,0,27,2,5,0,20,403,299,183,59,26,13,18,7,4,0,3,2,2,95,3,43,3,2,0,40,4,239,74,67,0,7,1,0,1,6,6,5,2,1,2,153,0,3,30,96,1,23,150,123,0,27,34,51,11,27,27,97,6,6,72,1,46,1,19,5,13,8,5,0,6,0,2,3,1,12,8,0,4,4,4,0,0,2,2,35,5,5,0,0,30,22,8,352,311,250,28,28,5,41,25,16,0,105,66,9,0,57,39,5,11,4,1,17,1
"20.3 Manufacture of paints, varnishes and similar coatings, printing ink and mastics",14419,2303,2166,27,1547,395,2,154,3,6,32,137,0,14,3,120,1644,1180,466,388,231,10,85,23,10,2,11,10,10,431,8,268,17,1,1,127,9,2573,876,761,15,100,15,4,11,15,15,133,90,35,8,1534,0,4,160,1215,1,154,1546,1288,6,348,288,534,112,258,258,882,18,18,500,31,263,48,82,76,211,84,116,11,153,7,46,18,82,60,41,4,0,37,19,5,3,7,4,486,206,154,40,12,280,213,67,3085,2504,1889,281,285,49,581,359,215,7,1840,948,9,76,863,892,53,116,58,5,631,29
"20.4 Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",24933,3328,3129,56,2022,706,8,233,4,7,93,199,4,17,4,174,2350,1505,460,689,271,17,68,70,33,6,31,26,26,749,21,400,15,2,3,239,69,3848,1076,962,9,105,51,30,21,10,10,261,96,160,5,2450,0,9,313,1850,0,278,2206,1836,7,492,511,666,160,370,370,1161,29,29,831,45,492,22,182,90,162,79,77,6,139,17,34,41,47,740,144,21,2,121,596,10,512,47,27,1079,734,461,232,41,345,254,91,5649,4901,3716,378,757,50,748,340,392,16,4572,2534,9,29,2496,2038,85,696,105,28,1058,66
"20.5 Manufacture of other chemical products",10764,1657,1560,44,1099,315,6,82,3,4,7,97,2,10,3,82,1623,1202,553,448,134,11,56,28,18,2,8,12,12,381,5,202,3,2,1,163,5,1899,760,672,14,74,21,15,6,21,21,29,10,17,2,1068,0,2,139,818,4,105,1188,979,4,272,236,383,84,209,209,731,18,18,489,40,232,7,104,106,115,59,46,10,109,4,22,14,69,67,47,9,2,36,20,5,10,3,2,251,79,62,14,3,172,133,39,2265,1998,1397,282,290,29,267,128,130,9,1083,516,1,10,505,567,31,88,55,0,362,31
"20.6 Manufacture of man-made fibres",677,65,60,1,48,7,0,3,0,1,0,5,0,0,0,5,78,54,5,35,12,0,2,0,0,0,0,1,1,23,1,14,0,0,0,7,1,127,98,96,0,2,0,0,0,1,1,1,1,0,0,27,0,1,3,18,0,5,32,31,1,11,3,14,2,1,1,89,1,1,72,8,38,2,14,10,7,5,2,0,9,3,0,2,4,5,4,2,0,2,1,0,0,0,1,10,5,3,2,0,5,5,0,216,201,159,20,16,6,15,6,9,0,55,32,1,3,28,23,1,4,8,0,10,0
"21 Manufacture of basic pharmaceutical products and pharmaceutical preparations",60749,8515,7846,314,4693,2087,18,306,9,367,52,669,25,41,28,575,16890,9441,4739,2607,1739,53,303,2567,2156,35,376,95,95,4787,172,2102,58,25,58,2237,135,13876,5213,4504,52,657,812,705,107,63,63,476,245,206,25,7312,12,148,1028,5121,6,997,5186,3806,35,815,913,1770,273,1380,1380,2233,80,80,1696,20,995,26,362,293,245,171,56,18,212,26,57,95,34,810,671,64,306,301,139,27,40,56,16,1331,616,516,78,22,715,563,152,6531,5661,3910,823,849,79,870,647,204,19,5377,2623,20,43,2560,2754,143,524,271,25,1657,134
"22.1 Manufacture of rubber products",15257,1730,1618,16,1197,256,5,122,2,2,18,112,2,8,1,101,945,585,20,423,119,6,17,15,5,0,10,7,7,338,7,176,9,4,1,129,12,1536,444,386,21,37,7,4,3,18,18,48,18,26,4,1019,0,3,147,773,0,96,1249,1051,5,354,192,413,87,198,198,1398,24,24,1124,47,780,50,179,68,147,105,38,4,103,39,16,18,30,67,46,5,2,39,21,3,10,8,0,298,101,79,16,6,197,156,41,6995,6363,4947,396,952,68,632,448,171,13,1039,345,6,26,313,694,36,124,40,4,457,33
"22.2 Manufacture of plastics products",111552,13774,13144,156,10417,1638,14,789,3,12,115,630,18,59,16,537,5064,2868,95,2107,537,24,105,114,32,6,76,36,36,2046,21,886,258,16,7,836,22,9458,2805,2292,214,299,50,17,33,40,40,681,144,528,9,5882,4,11,1042,4406,1,418,10178,8003,47,2427,1267,3248,1014,2175,2175,23369,299,299,7071,419,5007,114,1053,478,12112,11716,349,47,3887,113,781,179,2814,522,372,36,19,317,150,15,60,58,17,2179,1216,855,304,57,963,744,219,38537,34236,28097,2098,3376,665,4301,2737,1474,90,8471,3557,47,119,3391,4914,360,934,176,31,3218,195
"23.1 Manufacture of glass and glass products",22399,2328,2184,16,1732,290,4,118,1,2,21,144,0,10,3,131,1273,849,34,609,153,14,39,32,22,0,10,9,9,383,8,155,26,0,7,177,10,1648,527,422,43,62,23,16,7,19,19,251,111,132,8,828,1,5,184,552,1,85,1578,1235,11,347,193,535,149,343,343,6047,76,76,1451,78,998,46,252,77,1970,1886,79,5,2550,15,48,44,2443,128,86,5,2,79,42,7,16,11,8,288,154,134,11,9,134,106,28,7453,6281,4960,394,830,97,1172,844,309,19,1656,486,10,46,430,1170,65,230,59,8,606,202
"23.2 Manufacture of refractory products",1430,216,202,3,146,44,0,6,0,0,3,14,0,0,0,14,138,93,4,81,6,0,2,4,0,0,4,1,1,40,0,20,2,0,1,17,0,171,59,51,5,3,0,0,0,2,2,4,3,0,1,106,0,0,16,83,0,7,131,103,0,35,16,32,20,28,28,317,3,3,99,5,61,1,20,12,91,88,2,1,124,1,0,3,120,7,4,0,0,4,3,0,1,2,0,14,5,3,2,0,9,7,2,284,224,139,39,44,2,60,21,38,1,152,115,0,11,104,37,1,7,1,0,25,3
"23.3 Manufacture of clay building materials",5254,593,548,3,435,62,1,34,0,0,13,45,0,2,0,43,191,120,5,90,18,2,5,8,4,0,4,2,2,61,1,34,11,0,0,13,2,429,97,84,7,6,4,1,3,2,2,29,13,15,1,297,0,0,34,225,0,38,415,356,0,82,47,180,47,59,59,1559,21,21,519,16,326,8,132,37,280,191,83,6,739,2,11,14,712,16,14,2,1,11,2,0,1,1,0,117,57,44,10,3,60,50,10,1330,957,690,109,137,21,373,132,234,7,604,402,7,19,376,202,17,36,13,3,121,12
"23.4 Manufacture of other porcelain and ceramic products",8969,805,732,14,522,123,2,42,0,2,27,73,1,9,2,61,554,390,3,315,48,4,20,6,0,0,6,15,15,143,4,71,3,3,9,50,3,757,156,115,17,24,7,6,1,5,5,204,55,147,2,385,0,1,40,303,0,41,497,393,5,134,66,159,29,104,104,3875,45,45,322,26,216,8,52,20,166,91,73,2,3342,16,65,43,3218,72,47,5,1,41,25,16,4,5,0,249,187,163,18,6,62,50,12,1190,1068,652,128,271,17,122,63,57,2,970,569,4,13,552,401,22,41,33,3,277,25
"23.5 Manufacture of cement, lime and plaster",2705,322,302,3,224,41,0,31,0,0,3,20,2,1,0,17,270,191,12,136,22,13,8,6,1,0,5,2,2,71,2,25,9,0,0,34,1,246,104,95,4,5,3,1,2,2,2,8,6,1,1,129,0,1,20,80,2,26,153,122,2,23,41,49,7,31,31,468,13,13,386,10,192,17,138,29,56,32,20,4,13,0,0,6,7,14,8,0,0,8,6,1,1,2,2,34,9,5,4,0,25,15,10,1006,495,285,132,46,32,511,385,114,12,192,87,1,5,81,105,8,25,22,0,47,3
"23.6 Manufacture of articles of concrete, cement and plaster",14237,1799,1687,11,1377,165,0,114,3,3,14,112,2,13,0,97,668,375,12,261,69,15,18,13,3,0,10,3,3,277,1,136,63,3,0,70,4,1210,371,266,80,25,7,2,5,11,11,35,19,14,2,786,1,0,164,557,0,64,1208,1007,5,235,192,435,140,201,201,1942,36,36,949,92,560,39,180,78,801,471,107,223,156,15,2,15,124,43,31,5,1,25,12,3,4,5,0,274,101,72,24,5,173,145,28,5880,3620,2760,366,184,310,2260,1463,771,26,1213,774,6,87,681,439,48,52,35,2,290,12
"23.7 Cutting, shaping and finishing of stone",4642,653,623,3,555,37,0,14,0,1,13,30,0,4,1,25,113,56,4,39,11,2,0,7,3,0,4,1,1,49,0,28,13,1,4,2,1,250,28,19,8,1,3,1,2,4,4,54,35,18,1,161,0,0,38,117,0,6,521,363,6,63,13,207,74,158,158,2398,33,33,225,15,161,5,17,27,2055,2021,30,4,85,4,7,11,63,10,7,0,0,7,3,1,2,0,0,62,55,44,9,2,7,7,0,417,288,67,126,35,60,129,85,42,2,218,125,4,21,100,93,20,27,2,2,38,4
"23.9 Manufacture of abrasive products and non-metallic mineral products n.e.c.",5575,705,672,13,502,107,0,45,0,0,5,33,0,1,0,32,540,356,39,222,70,4,21,5,1,0,4,1,1,178,3,103,10,5,0,53,4,777,334,304,7,23,4,1,3,4,4,35,15,20,0,400,0,0,53,303,2,42,479,401,1,110,96,161,33,78,78,673,11,11,477,48,285,9,52,83,98,78,9,11,87,13,17,17,40,28,18,2,1,15,10,1,4,4,1,118,39,23,16,0,79,56,23,1493,1232,391,509,281,51,261,89,168,4,762,487,1,27,459,275,22,53,15,0,176,9
"24 Manufacture of basic metals",88004,8407,7805,108,6012,1147,20,394,64,11,49,602,5,44,13,540,8849,6397,376,4992,802,152,75,242,77,12,153,52,52,2158,31,1044,133,21,10,883,36,9309,3206,2578,336,292,62,19,43,1527,1527,269,195,44,30,4245,6,15,853,2334,15,1022,5600,4626,66,1429,1083,1699,349,974,974,19716,251,251,16644,5813,6826,150,2263,1592,2030,1673,260,97,791,26,59,118,588,434,306,56,8,242,128,25,33,54,16,819,428,307,94,27,391,318,73,20213,16120,6831,6815,2140,334,4093,1578,2263,252,14657,11590,38,198,11354,3067,213,457,465,21,1762,149
"25.1 Manufacture of structural metal products",89210,11464,10931,196,8905,1439,29,299,2,11,50,533,19,61,8,445,11165,8843,66,7743,873,63,98,111,38,2,71,34,34,2177,43,1011,395,19,10,657,42,7947,3043,1497,1325,221,56,17,39,66,66,294,196,83,15,4488,15,20,1144,2778,2,529,9304,6762,215,1946,978,2923,700,2542,2542,26529,367,367,21641,8998,9993,313,1088,1249,3760,3200,369,191,761,48,57,157,499,377,247,46,9,192,130,15,40,59,16,678,384,284,65,35,294,212,82,15817,13662,730,10678,1876,378,2155,1386,713,56,5929,3167,48,178,2941,2762,262,788,162,23,1415,112
"25.2 Manufacture of tanks, reservoirs and containers of metal",4196,460,432,4,299,93,2,32,0,1,1,28,0,5,1,22,380,247,2,206,30,0,9,5,2,0,3,4,4,124,2,54,1,1,0,64,2,454,128,92,27,9,1,0,1,2,2,13,6,7,0,310,0,2,41,235,0,32,382,327,4,93,79,128,23,55,55,1206,19,19,980,534,294,12,60,80,184,154,23,7,23,2,1,5,15,14,9,0,0,9,5,0,4,1,0,97,21,17,2,2,76,66,10,741,622,77,282,251,12,119,71,43,5,462,268,5,11,252,194,4,29,14,0,143,4
"25.3 Manufacture of steam generators, except central heating hot water boilers",1769,200,195,2,162,26,0,4,0,0,1,5,1,1,0,3,293,239,1,225,10,1,2,2,2,0,0,1,1,51,0,18,2,1,0,28,2,235,100,74,21,5,0,0,0,4,4,8,7,0,1,123,0,0,17,87,0,19,149,121,0,21,30,61,9,28,28,517,5,5,440,247,136,2,29,26,64,48,14,2,8,1,0,4,3,3,1,0,0,1,2,0,0,1,1,21,14,12,0,2,7,6,1,237,209,19,120,62,8,28,19,9,0,114,57,1,9,47,57,1,18,7,0,27,4
"25.4 Manufacture of weapons and ammunition",6959,709,594,10,360,172,3,27,9,1,12,115,1,9,2,103,2393,2017,204,1169,601,25,18,29,13,3,13,11,11,336,9,152,17,3,3,141,11,1011,335,252,33,50,5,1,4,160,160,40,31,7,2,471,8,4,106,210,1,142,528,397,37,90,128,120,22,131,131,1026,21,21,879,54,556,30,169,70,63,37,16,10,63,6,8,10,39,121,108,8,0,100,13,1,1,10,1,69,38,30,6,2,31,23,8,834,762,93,384,261,24,72,45,20,7,268,131,5,5,121,137,10,11,47,2,60,7
